Scan,Object,Bad Velocity,Bad Stratiform Offset,Inflow Classification Affected?,SO Classification Affected?,,Notes
1537,128,1,0,1,1,,Stange bug. Velocity completely wrong. 
1538,128,1,0,1,1,,Stange bug. Velocity completely wrong. 
1539,128,1,0,1,1,,Stange bug. Velocity completely wrong. 
10093,927,1,0,1,0,,Ambiguous cross correlation.
10094,927,1,0,1,1,,Ambiguous cross correlation.
13974,1231,1,0,0,1,,Stationary system given a velocity > 5 m/s.
13975,1231,1,0,0,1,,Stationary system given a velocity > 5 m/s.
13976,1231,1,0,0,1,,Stationary system given a velocity > 5 m/s.
13977,1231,1,0,0,0,,Stationary system given a velocity > 5 m/s.
13978,1231,1,0,0,1,,Stationary system given a velocity > 5 m/s.
13979,1231,1,0,1,1,,Stationary system given a velocity > 5 m/s.
13980,1231,1,0,1,1,,Stationary system given a velocity > 5 m/s.
